iter	Passed	Remaining
754	5344	5273
755	5350	5265
756	5357	5258
757	5364	5250
758	5371	5243
759	5377	5235
760	5384	5228
761	5391	5221
762	5398	5214
763	5404	5206
764	5412	5199
765	5417	5191
766	5423	5183
767	5430	5176
768	5437	5169
769	5444	5161
770	5450	5153
771	5456	5145
772	5462	5137
773	5469	5129
774	5475	5121
775	5481	5113
776	5487	5106
777	5494	5099
778	5500	5091
779	5508	5084
780	5514	5077
781	5520	5068
782	5527	5061
783	5534	5054
784	5542	5048
785	5549	5040
786	5554	5032
787	5560	5024
788	5568	5017
789	5574	5010
790	5581	5002
791	5588	4995
792	5594	4987
793	5600	4980
794	5607	4972
795	5614	4965
796	5620	4957
797	5626	4949
798	5634	4943
799	5643	4937
800	5650	4931
801	5658	4924
802	5665	4917
803	5671	4910
804	5679	4903
805	5687	4897
806	5695	4890
807	5702	4883
808	5709	4877
809	5717	4870
810	5723	4862
811	5730	4855
812	5738	4848
813	5744	4841
814	5751	4833
815	5758	4826
816	5764	4819
817	5772	4812
818	5779	4805
819	5786	4798
820	5794	4792
821	5801	4785
822	5808	4777
823	5814	4770
824	5821	4763
825	5828	4756
826	5835	4749
827	5842	4741
828	5848	4734
829	5855	4726
830	5861	4718
831	5868	4711
832	5874	4704
833	5881	4696
834	5888	4689
835	5894	4682
836	5901	4674
837	5907	4667
838	5913	4658
839	5919	4651
840	5925	4643
841	5933	4636
842	5940	4629
843	5947	4622
844	5953	4614
845	5959	4607
846	5966	4599
847	5973	4592
848	5980	4585
849	5987	4578
850	5993	4571
851	6000	4563
852	6007	4556
853	6013	4549
854	6019	4541
855	6026	4533
856	6032	4526
857	6039	4519
858	6045	4511
859	6052	4503
860	6058	4496
861	6063	4488
862	6070	4481
863	6077	4473
864	6083	4466
865	6090	4459
866	6097	4452
867	6103	4444
868	6110	4437
869	6117	4429
870	6123	4422
871	6129	4414
872	6136	4407
873	6142	4399
874	6149	4392
875	6156	4385
876	6162	4377
877	6169	4370
878	6175	4363
879	6182	4355
880	6189	4348
881	6196	4341
882	6202	4333
883	6208	4326
884	6214	4318
885	6220	4311
886	6227	4303
887	6234	4296
888	6241	4289
889	6248	4282
890	6255	4275
891	6261	4267
892	6267	4259
893	6273	4252
894	6280	4245
895	6286	4237
896	6294	4231
897	6300	4223
898	6306	4216
899	6313	4209
900	6320	4201
901	6326	4194
902	6332	4186
903	6340	4180
904	6346	4172
